occurrence_no,record_type,collection_no,identified_name,identified_rank,accepted_name,accepted_rank,accepted_no,taxon_environment,early_interval,late_interval,max_ma,min_ma,phylum,class,order,family,genus,cc,state,county,lat,lng,latlng_basis,latlng_precision,geogscale,paleolat,paleolng,geoplate,formation,geological_group,stratscale,lithology1,lithology2,environment,tectonic_setting,pres_mode,preservation_quality,lagerstatten,collection_coverage,collection_type,ref_author,ref_pubyr,reference_no,research_group,age_range_ma,geological_era,geological_period
41524,occ,3257,Aves indet.,class,Aves,class,36616,terrestrial,Lutetian,,48.07,41.03,Chordata,Aves,,,,UK,England,Hampshire,51.083332,-1.166667,based on political unit,minutes,small collection,43.28,5.97,315,Earnley,Bracklesham,group of beds,sandstone,,coastal indet.,,body,,,,biostratigraphic,Bone et al.,1991.0,149,marine invertebrate,7.039999999999999,Cenozoic,Paleogene
41580,occ,3256,Aves indet.,class,Aves,class,36616,terrestrial,Ypresian,,56.0,48.07,Chordata,Aves,,,,UK,England,Hampshire,51.083332,-1.166667,based on political unit,minutes,small collection,43.28,5.97,315,Wittering,Bracklesham,bed,sandstone,,coastal indet.,,mold/impression,,,,biostratigraphic,Bone et al.,1991.0,149,marine invertebrate,7.93,Cenozoic,Paleogene
130209,occ,10755,Chaoyangosaurus liaosiensis n. gen. n. sp.,species,Chaoyangsaurus youngi,species,55580,terrestrial,Late Kimmeridgian,Valanginian,152.21,132.6,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Chaoyangsauridae,Chaoyangsaurus,CN,Liaoning,Chaoyang,42.9333,123.966698,stated in text,4,small collection,50.66,127.48,604,Tuchengzi,,group of beds,mudstone,,fluvial indet.,,body,good,,some macrofossils,taxonomic,Dong,1992.0,13360,vertebrate,19.610000000000014,Mesozoic,Jurassic/Cretaceous
130294,occ,10764,Protarchaeopteryx robusta n. gen. n. sp.,species,Protarchaeopteryx robusta,species,66068,terrestrial,Late Barremian,Early Aptian,125.77,119.57,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Protarchaeopteryx,CN,Liaoning,,41.799999,120.73333,based on political unit,seconds,local area,41.69,129.23,604,Yixian,Jehol,bed,siltstone,,lacustrine indet.,,"body,adpression,soft parts",excellent,conservation,,biostratigraphic,Ji et al.,1998.0,4006,vertebrate,6.200000000000003,Mesozoic,Cretaceous
130295,occ,10764,Caudipteryx zoui n. gen. n. sp.,species,Caudipteryx zoui,species,66066,terrestrial,Late Barremian,Early Aptian,125.77,119.57,Chordata,Reptilia,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,Caudipteryx,CN,Liaoning,,41.799999,120.73333,based on political unit,seconds,local area,41.69,129.23,604,Yixian,Jehol,bed,siltstone,,lacustrine indet.,,"body,adpression,soft parts",excellent,conservation,,biostratigraphic,Ji and Ji,1997.0,19421,vertebrate,6.200000000000003,Mesozoic,Cretaceous
137486,occ,11582,Theropoda indet.,unranked clade,Theropoda,unranked clade,38513,terrestrial,Middle Campanian,Late Campanian,83.6,72.2,Chordata,Reptilia,,,,MN,Omnogov,,43.299999,99.599998,estimated from map,1,outcrop,37.54,95.39,628,Baruungoyot,,group of beds,not reported,,terrestrial indet.,,body,excellent,,some macrofossils,taxonomic,Gradzinski et al.,1977.0,59136,vertebrate,11.399999999999991,Mesozoic,Cretaceous
138867,occ,22634,Dinosauria indet.,unranked clade,Dinosauria,unranked clade,52775,terrestrial,Berriasian,Aptian,143.1,113.2,Chordata,Reptilia,,,,IL,Negev,,30.538889,34.726665,stated in text,seconds,small collection,0.64,40.4,508,Hatira,,group of beds,siltstone,,lacustrine - small,,"body,mold/impression,adpression",excellent,concentrate,,taxonomic,Polcyn et al.,1999.0,4203,vertebrate,29.89999999999999,Mesozoic,Cretaceous
139242,occ,11890,Gorgosaurus sternbergi n. sp.,species,Gorgosaurus libratus,species,53194,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,CA,Alberta,,50.740726,-111.528732,estimated from map,6,local area,60.93,-65.72,101,Dinosaur Park,Belly River,bed,sandstone,,"""channel""",,body,good,,,taxonomic,Matthew and Brown,1922.0,13165,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139249,occ,11892,Hadrosauridae indet.,family,Hadrosauridae,family,38755,terrestrial,Late Campanian,,83.6,72.2,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Hadrosauridae,,CA,Alberta,,50.753296,-111.461914,estimated from map,6,small collection,60.92,-65.63,101,Dinosaur Park,Belly River,bed,not reported,,terrestrial indet.,,body,,,,general faunal/floral,Currie,2005.0,16964,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139250,occ,11893,Gorgosaurus libratus,species,Gorgosaurus libratus,species,53194,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,CA,Alberta,,50.737015,-111.549347,stated in text,6,small collection,60.93,-65.75,101,Dinosaur Park,Belly River,bed,sandstone,,"""channel""",,body,,,,paleoecologic,Russell,1970.0,4205,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139251,occ,11894,Centrosaurus apertus,species,Centrosaurus apertus,species,63911,terrestrial,Late Campanian,,83.6,72.2,Chordata,Ornithischia,NO_ORDER_SPECIFIED,Ceratopsidae,Centrosaurus,CA,Alberta,,50.737297,-111.528931,stated in text,6,small collection,60.93,-65.72,101,Dinosaur Park,Belly River,bed,not reported,,terrestrial indet.,,body,,,,general faunal/floral,Currie,2005.0,16964,vertebrate,11.399999999999991,Mesozoic,Cretaceous
139252,occ,11895,Gorgosaurus libratus,species,Gorgosaurus libratus,species,53194,terrestrial,Late Campanian,,83.6,72.2,Chordata,Reptilia,NO_ORDER_SPECIFIED,Tyrannosauridae,Gorgosaurus,CA,Alberta,,50.723866,-111.564636,stated in text,6,small collection,60.93,-65.78,101,Dinosaur Park,Belly River,bed,sandstone,,channel lag,,body,good,,,taxonomic,Russell,1970.0,4205,vertebrate,11.399999999999991,Mesozoic,Cretaceous
